condition,task,disturbance,episode,seed,success,disturbance_fired,recovered,steps,total_reward,trigger_step,final_can_x,final_can_y,final_can_z,training_seed,budget
baseline,can,action_delay,6,400033,False,True,False,260,4.04476883525431,5.0,0.012201608158648,-0.3172362446784973,0.8600534796714783,27,0
baseline,can,action_delay,7,400034,False,True,False,260,4.685094482635108,5.0,0.0143767781555652,-0.2689946889877319,0.8564069271087646,27,0
baseline,can,gripper_slip,0,400027,False,True,False,260,15.353885487125552,44.0,0.063380554318428,-0.1873800903558731,0.8437272906303406,27,0
baseline,can,gripper_slip,1,400028,False,True,False,260,11.94758329755113,44.0,0.1656356453895568,-0.0987804532051086,0.8600450754165649,27,0
baseline,can,gripper_slip,2,400029,False,True,False,260,13.596096914131612,64.0,0.1613043844699859,-0.2709495723247528,0.8600618243217468,27,0
baseline,can,gripper_slip,3,400030,False,True,False,260,14.40062648824662,42.0,0.0257810298353433,-0.0666671171784401,0.8436408042907715,27,0
baseline,can,gripper_slip,4,400031,False,True,False,260,10.00519298436545,56.0,-0.0438516661524772,-0.4057337343692779,0.8600454926490784,27,0
baseline,can,gripper_slip,5,400032,False,True,False,260,12.700909550904756,41.0,0.0625267848372459,-0.1644821614027023,0.8600572347640991,27,0
baseline,can,gripper_slip,6,400033,False,True,False,260,11.051140628309406,50.0,0.1282483637332916,-0.3029108941555023,0.8600510954856873,27,0
baseline,can,gripper_slip,7,400034,False,True,False,260,13.05687397038454,48.0,0.0299747232347726,-0.26701220870018,0.8436337113380432,27,0
baseline,milk,nominal,0,400027,True,False,False,66,21.49393023038703,,-0.0135764330625534,0.145818755030632,0.8909806609153748,27,0
baseline,milk,nominal,1,400028,True,False,False,78,24.512411768517648,,-0.0164300333708524,0.1325896233320236,0.8972060084342957,27,0
baseline,milk,nominal,2,400029,True,False,False,69,25.57259384600503,,-0.0157808791846036,0.1457956433296203,0.894650936126709,27,0
baseline,milk,nominal,3,400030,True,False,False,89,26.22171250316285,,-0.0139313330873847,0.1340275555849075,0.8965455889701843,27,0
baseline,milk,nominal,4,400031,True,False,False,76,25.781417088071997,,-0.0267908796668052,0.1500410884618759,0.8896170258522034,27,0
baseline,milk,nominal,5,400032,True,False,False,82,26.831155492154295,,-0.0233002211898565,0.1521971523761749,0.8946677446365356,27,0
baseline,milk,nominal,6,400033,True,False,False,67,24.721731905237256,,-0.015855623409152,0.1396150290966034,0.8925589323043823,27,0
baseline,milk,nominal,7,400034,True,False,False,75,20.976743546191884,,-0.0180493798106908,0.1616571098566055,0.8988583087921143,27,0
baseline,milk,object_shift,0,400027,False,True,False,260,3.896809278129204,14.0,0.007878846488893,-0.1054493263363838,0.8808568120002747,27,0
baseline,milk,object_shift,1,400028,True,True,True,82,21.6946980819125,14.0,-0.012659459374845,0.1208889931440353,0.8880661725997925,27,0
baseline,milk,object_shift,2,400029,False,True,False,260,4.857236684087146,14.0,-0.0656215772032737,-0.1094497442245483,0.8808645606040955,27,0
baseline,milk,object_shift,3,400030,False,True,False,260,3.2731085378903977,14.0,0.2599569857120514,-0.1946535110473632,0.8835218548774719,27,0
baseline,milk,object_shift,4,400031,False,True,False,260,3.8115224998226394,14.0,-0.0414286144077777,-0.1847603172063827,0.877651572227478,27,0
baseline,milk,object_shift,5,400032,True,True,True,95,27.982192707360856,14.0,-0.0121001144871115,0.1355193555355072,0.8985823392868042,27,0
baseline,milk,object_shift,6,400033,False,True,False,260,7.639297890587178,14.0,0.0977149531245231,-0.0699780508875846,0.8379326462745667,27,0
baseline,milk,object_shift,7,400034,True,True,True,83,22.3781568937293,14.0,-0.0297051016241312,0.1625846326351165,0.8883306980133057,27,0
baseline,milk,action_noise,0,400027,True,True,True,61,18.911105340981997,8.0,-0.0320501402020454,0.1282058358192443,0.8906610608100891,27,0
baseline,milk,action_noise,1,400028,True,True,True,75,24.171345963510326,8.0,0.0013634251663461,0.1393686980009079,0.8870689868927002,27,0
