logging_scheme,logging_seed,logged_episodes,target_budget,success_rate,intervention_rate,request_precision,pehe,helpful_auroc
uncertainty_selective,401,240,0.75,0.8916666666666667,0.75,0.5944444444444444,0.6054530169579784,0.7280626700704127
uncertainty_selective,503,60,0.1,0.48333333333333334,0.1,0.375,0.6893948119989223,0.618035879597161
uncertainty_selective,503,60,0.25,0.5916666666666667,0.25,0.5833333333333334,0.6893948119989223,0.618035879597161
uncertainty_selective,503,60,0.5,0.7,0.5,0.5083333333333333,0.6893948119989223,0.618035879597161
uncertainty_selective,503,60,0.75,0.8583333333333333,0.75,0.5555555555555556,0.6893948119989223,0.618035879597161
uncertainty_selective,503,120,0.1,0.49583333333333335,0.1,0.4583333333333333,0.5886090106817229,0.6944991864673044
uncertainty_selective,503,120,0.25,0.6125,0.25,0.65,0.5886090106817229,0.6944991864673044
uncertainty_selective,503,120,0.5,0.7333333333333333,0.5,0.5666666666666667,0.5886090106817229,0.6944991864673044
uncertainty_selective,503,120,0.75,0.8625,0.75,0.55,0.5886090106817229,0.6944991864673044
uncertainty_selective,503,180,0.1,0.5125,0.1,0.625,0.5822857380015911,0.7106032765730637
uncertainty_selective,503,180,0.25,0.6166666666666667,0.25,0.6666666666666666,0.5822857380015911,0.7106032765730637
uncertainty_selective,503,180,0.5,0.7666666666666667,0.5,0.6333333333333333,0.5822857380015911,0.7106032765730637
uncertainty_selective,503,180,0.75,0.8875,0.75,0.5833333333333334,0.5822857380015911,0.7106032765730637
uncertainty_selective,503,240,0.1,0.5125,0.1,0.625,0.6154253652814986,0.6817947513114708
uncertainty_selective,503,240,0.25,0.6166666666666667,0.25,0.6666666666666666,0.6154253652814986,0.6817947513114708
uncertainty_selective,503,240,0.5,0.7833333333333333,0.5,0.675,0.6154253652814986,0.6817947513114708
uncertainty_selective,503,240,0.75,0.9166666666666666,0.75,0.6222222222222222,0.6154253652814986,0.6817947513114708
adaptive_value,101,60,0.1,0.5041666666666667,0.1,0.5416666666666666,0.6788499837427371,0.621109420147558
adaptive_value,101,60,0.25,0.5833333333333334,0.25,0.5333333333333333,0.6788499837427371,0.621109420147558
adaptive_value,101,60,0.5,0.7333333333333333,0.5,0.575,0.6788499837427371,0.621109420147558
adaptive_value,101,60,0.75,0.8416666666666667,0.75,0.5444444444444444,0.6788499837427371,0.621109420147558
adaptive_value,101,120,0.1,0.5041666666666667,0.1,0.5833333333333334,0.6347929687482194,0.6399583064493506
adaptive_value,101,120,0.25,0.6,0.25,0.6166666666666667,0.6347929687482194,0.6399583064493506
adaptive_value,101,120,0.5,0.7291666666666666,0.5,0.575,0.6347929687482194,0.6399583064493506
adaptive_value,101,120,0.75,0.8541666666666666,0.75,0.55,0.6347929687482194,0.6399583064493506
adaptive_value,101,180,0.1,0.5041666666666667,0.1,0.5416666666666666,0.6470927278051872,0.6576877086430836
adaptive_value,101,180,0.25,0.6041666666666666,0.25,0.6166666666666667,0.6470927278051872,0.6576877086430836
adaptive_value,101,180,0.5,0.7291666666666666,0.5,0.5583333333333333,0.6470927278051872,0.6576877086430836
adaptive_value,101,180,0.75,0.9083333333333333,0.75,0.6111111111111112,0.6470927278051872,0.6576877086430836
adaptive_value,101,240,0.1,0.5125,0.1,0.625,0.6302000155733568,0.6781505105618986
adaptive_value,101,240,0.25,0.6208333333333333,0.25,0.6833333333333333,0.6302000155733568,0.6781505105618986
adaptive_value,101,240,0.5,0.7875,0.5,0.675,0.6302000155733568,0.6781505105618986
adaptive_value,101,240,0.75,0.9458333333333333,0.75,0.6611111111111111,0.6302000155733568,0.6781505105618986
adaptive_value,211,60,0.1,0.5,0.1,0.5,0.683412562439282,0.6363578982803602
adaptive_value,211,60,0.25,0.6,0.25,0.6,0.683412562439282,0.6363578982803602
adaptive_value,211,60,0.5,0.7375,0.5,0.575,0.683412562439282,0.6363578982803602
adaptive_value,211,60,0.75,0.875,0.75,0.5666666666666667,0.683412562439282,0.6363578982803602
adaptive_value,211,120,0.1,0.5125,0.1,0.625,0.6467764319307643,0.6786160125676775
adaptive_value,211,120,0.25,0.6125,0.25,0.65,0.6467764319307643,0.6786160125676775
adaptive_value,211,120,0.5,0.7541666666666667,0.5,0.6083333333333333,0.6467764319307643,0.6786160125676775
adaptive_value,211,120,0.75,0.8875,0.75,0.5833333333333334,0.6467764319307643,0.6786160125676775
adaptive_value,211,180,0.1,0.49583333333333335,0.1,0.4583333333333333,0.6243409716071764,0.6838426094762533
adaptive_value,211,180,0.25,0.5916666666666667,0.25,0.5666666666666667,0.6243409716071764,0.6838426094762533
adaptive_value,211,180,0.5,0.7166666666666667,0.5,0.5333333333333333,0.6243409716071764,0.6838426094762533
adaptive_value,211,180,0.75,0.8583333333333333,0.75,0.55,0.6243409716071764,0.6838426094762533
adaptive_value,211,240,0.1,0.5041666666666667,0.1,0.5416666666666666,0.6574366797314019,0.6734034420848879
adaptive_value,211,240,0.25,0.6,0.25,0.6,0.6574366797314019,0.6734034420848879
adaptive_value,211,240,0.5,0.7708333333333334,0.5,0.6416666666666667,0.6574366797314019,0.6734034420848879
adaptive_value,211,240,0.75,0.8958333333333334,0.75,0.6,0.6574366797314019,0.6734034420848879
adaptive_value,307,60,0.1,0.48333333333333334,0.1,0.3333333333333333,0.7640649970221675,0.6065000210396386
adaptive_value,307,60,0.25,0.5791666666666667,0.25,0.5166666666666667,0.7640649970221675,0.6065000210396386
adaptive_value,307,60,0.5,0.7083333333333334,0.5,0.5333333333333333,0.7640649970221675,0.6065000210396386
adaptive_value,307,60,0.75,0.8166666666666667,0.75,0.5111111111111111,0.7640649970221675,0.6065000210396386
adaptive_value,307,120,0.1,0.49166666666666664,0.1,0.5,0.6859022264791989,0.6104300502146043
adaptive_value,307,120,0.25,0.5916666666666667,0.25,0.6,0.6859022264791989,0.6104300502146043
adaptive_value,307,120,0.5,0.7166666666666667,0.5,0.575,0.6859022264791989,0.6104300502146043
adaptive_value,307,120,0.75,0.85,0.75,0.5666666666666667,0.6859022264791989,0.6104300502146043
