held_out_axis,held_out_value,logging_seed,method,target_budget,success_rate,intervention_rate,request_precision,pehe,helpful_auroc
disturbance,nominal,101,reversibility_proxy,0.25,0.9583333333333334,0.25,0.3333333333333333,0.6258620391405433,0.863880974992086
disturbance,nominal,101,reversibility_proxy,0.5,0.9375,0.5,0.16666666666666666,0.6258620391405433,0.863880974992086
disturbance,nominal,101,reversibility_proxy,0.75,0.9375,0.75,0.1111111111111111,0.6258620391405433,0.863880974992086
disturbance,nominal,211,dr_learner,0.1,0.9375,0.10416666666666667,0.6,0.6683213729925934,0.6289965178854068
disturbance,nominal,211,dr_learner,0.25,0.9375,0.25,0.25,0.6683213729925934,0.6289965178854068
disturbance,nominal,211,dr_learner,0.5,0.9375,0.5,0.125,0.6683213729925934,0.6289965178854068
disturbance,nominal,211,dr_learner,0.75,0.8958333333333334,0.75,0.1111111111111111,0.6683213729925934,0.6289965178854068
disturbance,nominal,211,reversibility_proxy,0.1,0.8958333333333334,0.10416666666666667,0.2,0.6088747183464963,0.8350743906299462
disturbance,nominal,211,reversibility_proxy,0.25,0.9583333333333334,0.25,0.3333333333333333,0.6088747183464963,0.8350743906299462
disturbance,nominal,211,reversibility_proxy,0.5,0.9583333333333334,0.5,0.20833333333333334,0.6088747183464963,0.8350743906299462
disturbance,nominal,211,reversibility_proxy,0.75,0.9375,0.75,0.1111111111111111,0.6088747183464963,0.8350743906299462
disturbance,nominal,307,dr_learner,0.1,0.875,0.10416666666666667,0.0,0.6387084246739516,0.7465970243748021
disturbance,nominal,307,dr_learner,0.25,0.9166666666666666,0.25,0.16666666666666666,0.6387084246739516,0.7465970243748021
disturbance,nominal,307,dr_learner,0.5,0.9375,0.5,0.125,0.6387084246739516,0.7465970243748021
disturbance,nominal,307,dr_learner,0.75,0.9583333333333334,0.75,0.1111111111111111,0.6387084246739516,0.7465970243748021
disturbance,nominal,307,reversibility_proxy,0.1,0.9166666666666666,0.10416666666666667,0.4,0.6418023592267413,0.8697372586261475
disturbance,nominal,307,reversibility_proxy,0.25,0.9375,0.25,0.25,0.6418023592267413,0.8697372586261475
disturbance,nominal,307,reversibility_proxy,0.5,0.9583333333333334,0.5,0.16666666666666666,0.6418023592267413,0.8697372586261475
disturbance,nominal,307,reversibility_proxy,0.75,0.9375,0.75,0.1111111111111111,0.6418023592267413,0.8697372586261475
disturbance,object_shift,101,dr_learner,0.1,0.5,0.10416666666666667,0.4,0.6391213886511652,0.5958414554905783
disturbance,object_shift,101,dr_learner,0.25,0.5833333333333334,0.25,0.5,0.6391213886511652,0.5958414554905783
disturbance,object_shift,101,dr_learner,0.5,0.75,0.5,0.5833333333333334,0.6391213886511652,0.5958414554905783
disturbance,object_shift,101,dr_learner,0.75,0.8333333333333334,0.75,0.5,0.6391213886511652,0.5958414554905783
disturbance,object_shift,101,reversibility_proxy,0.1,0.4791666666666667,0.10416666666666667,0.2,0.5643809564805349,0.682771744175253
disturbance,object_shift,101,reversibility_proxy,0.25,0.5416666666666666,0.25,0.3333333333333333,0.5643809564805349,0.682771744175253
disturbance,object_shift,101,reversibility_proxy,0.5,0.7708333333333334,0.5,0.625,0.5643809564805349,0.682771744175253
disturbance,object_shift,101,reversibility_proxy,0.75,0.875,0.75,0.5555555555555556,0.5643809564805349,0.682771744175253
disturbance,object_shift,211,dr_learner,0.1,0.5416666666666666,0.10416666666666667,0.8,0.6367581438703979,0.6478696741854637
disturbance,object_shift,211,dr_learner,0.25,0.625,0.25,0.6666666666666666,0.6367581438703979,0.6478696741854637
disturbance,object_shift,211,dr_learner,0.5,0.8125,0.5,0.7083333333333334,0.6367581438703979,0.6478696741854637
disturbance,object_shift,211,dr_learner,0.75,0.8333333333333334,0.75,0.5277777777777778,0.6367581438703979,0.6478696741854637
disturbance,object_shift,211,reversibility_proxy,0.1,0.4583333333333333,0.10416666666666667,0.0,0.604598774914952,0.648658683746403
disturbance,object_shift,211,reversibility_proxy,0.25,0.5416666666666666,0.25,0.3333333333333333,0.604598774914952,0.648658683746403
disturbance,object_shift,211,reversibility_proxy,0.5,0.7291666666666666,0.5,0.5416666666666666,0.604598774914952,0.648658683746403
disturbance,object_shift,211,reversibility_proxy,0.75,0.875,0.75,0.5833333333333334,0.604598774914952,0.648658683746403
disturbance,object_shift,307,dr_learner,0.1,0.5,0.10416666666666667,0.4,0.5790815405345742,0.7069525666016894
disturbance,object_shift,307,dr_learner,0.25,0.5833333333333334,0.25,0.5,0.5790815405345742,0.7069525666016894
disturbance,object_shift,307,dr_learner,0.5,0.7291666666666666,0.5,0.5416666666666666,0.5790815405345742,0.7069525666016894
disturbance,object_shift,307,dr_learner,0.75,0.8541666666666666,0.75,0.5277777777777778,0.5790815405345742,0.7069525666016894
disturbance,object_shift,307,reversibility_proxy,0.1,0.4791666666666667,0.10416666666666667,0.2,0.5891116932007545,0.675392184164114
disturbance,object_shift,307,reversibility_proxy,0.25,0.5833333333333334,0.25,0.5,0.5891116932007545,0.675392184164114
disturbance,object_shift,307,reversibility_proxy,0.5,0.7916666666666666,0.5,0.6666666666666666,0.5891116932007545,0.675392184164114
disturbance,object_shift,307,reversibility_proxy,0.75,0.8541666666666666,0.75,0.5277777777777778,0.5891116932007545,0.675392184164114
